T,P,v_f,v_g,u_f,u_g,h_f,h_g,s_f,s_g,,v_x,u_x,h_x,s_x
[oC],[kPa],[m3/kg],[m3/kg],[kJ/kg],[kJ/kg],[kJ/kg],[kJ/kg],[kJ/kg/K],[kJ/kg/K],quality,0.5,0.5,0.5,0.5
0.13,0.617,0.00100,204.2989,0.5,2375.1,0.51,2501.13,0.0019,9.1523,,102.1499742,1187.791562,1250.819245,4.577065809
1,0.657,0.00100,192.4447,4.2,2376.3,4.18,2502.73,0.0153,9.1291,,,,,
2,0.706,0.00100,179.7636,8.4,2377.7,8.39,2504.57,0.0306,9.1027,,,,,
3,0.758,0.00100,168.0141,12.6,2379.0,12.60,2506.40,0.0459,9.0765,,,,,
4,0.814,0.00100,157.1213,16.8,2380.4,16.81,2508.24,0.0611,9.0506,,,,,
5,0.873,0.00100,147.0169,21.0,2381.8,21.02,2510.07,0.0763,9.0249,,,,,
6,0.935,0.00100,137.6382,25.2,2383.2,25.22,2511.91,0.0913,8.9994,,,,,
7,1.002,0.00100,128.9281,29.4,2384.5,29.43,2513.74,0.1064,8.9742,,,,,
8,1.073,0.00100,120.8344,33.6,2385.9,33.63,2515.57,0.1213,8.9492,,,,,
9,1.148,0.00100,113.3092,37.8,2387.3,37.82,2517.40,0.1362,8.9244,,,,,
10,1.228,0.00100,106.3087,42.0,2388.7,42.02,2519.23,0.1511,8.8998,,,,,
11,1.313,0.00100,99.7927,46.2,2390.0,46.22,2521.06,0.1659,8.8755,,,,,
12,1.403,0.00100,93.7243,50.4,2391.4,50.41,2522.89,0.1806,8.8514,,,,,
13,1.498,0.00100,88.0698,54.6,2392.8,54.60,2524.71,0.1953,8.8275,,,,,
14,1.599,0.00100,82.7981,58.8,2394.1,58.79,2526.54,0.2099,8.8038,,,,,
15,1.706,0.00100,77.8807,63.0,2395.5,62.98,2528.36,0.2245,8.7804,,,,,
16,1.819,0.00100,73.2915,67.2,2396.9,67.17,2530.19,0.2390,8.7571,,,,,
17,1.938,0.00100,69.0063,71.4,2398.3,71.36,2532.01,0.2534,8.7341,,,,,
18,2.065,0.00100,65.0029,75.5,2399.6,75.55,2533.83,0.2678,8.7112,,,,,
19,2.198,0.00100,61.2609,79.7,2401.0,79.73,2535.65,0.2822,8.6886,,,,,
20,2.339,0.00100,57.7615,83.9,2402.4,83.92,2537.47,0.2965,8.6661,,,,,
21,2.488,0.00100,54.4873,88.1,2403.7,88.10,2539.29,0.3108,8.6439,,,,,
22,2.645,0.00100,51.4225,92.3,2405.1,92.29,2541.10,0.3250,8.6218,,,,,
23,2.811,0.00100,48.5521,96.5,2406.4,96.47,2542.92,0.3391,8.6000,,,,,
24,2.986,0.00100,45.8626,100.7,2407.8,100.66,2544.73,0.3532,8.5783,,,,,
25,3.170,0.00100,43.3414,104.8,2409.2,104.84,2546.54,0.3673,8.5568,,,,,
26,3.364,0.00100,40.9768,109.0,2410.5,109.02,2548.35,0.3813,8.5355,,,,,
27,3.568,0.00100,38.7582,113.2,2411.9,113.20,2550.16,0.3952,8.5144,,,,,
28,3.783,0.00100,36.6754,117.4,2413.2,117.38,2551.97,0.4091,8.4934,,,,,
29,4.009,0.00100,34.7194,121.6,2414.6,121.56,2553.78,0.4230,8.4727,,,,,
30,4.247,0.00100,32.8816,125.7,2415.9,125.75,2555.58,0.4368,8.4521,,,,,
31,4.497,0.00100,31.1540,129.9,2417.3,129.93,2557.39,0.4506,8.4317,,,,,
32,4.759,0.00101,29.5295,134.1,2418.7,134.11,2559.19,0.4643,8.4115,,,,,
33,5.035,0.00101,28.0010,138.3,2420.0,138.29,2560.99,0.4780,8.3914,,,,,
34,5.325,0.00101,26.5624,142.5,2421.4,142.47,2562.79,0.4916,8.3715,,,,,
35,5.629,0.00101,25.2078,146.6,2422.7,146.64,2564.58,0.5052,8.3518,,,,,
36,5.947,0.00101,23.9318,150.8,2424.0,150.82,2566.38,0.5187,8.3323,,,,,
37,6.282,0.00101,22.7292,155.0,2425.4,155.00,2568.17,0.5322,8.3129,,,,,
38,6.632,0.00101,21.5954,159.2,2426.7,159.18,2569.96,0.5457,8.2936,,,,,
39,7.000,0.00101,20.5261,163.4,2428.1,163.36,2571.75,0.5591,8.2746,,,,,
40,7.384,0.00101,19.5170,167.5,2429.4,167.54,2573.54,0.5724,8.2557,,,,,
41,7.787,0.00101,18.5646,171.7,2430.8,171.72,2575.33,0.5858,8.2369,,,,,
42,8.209,0.00101,17.6652,175.9,2432.1,175.90,2577.11,0.5990,8.2183,,,,,
43,8.650,0.00101,16.8155,180.1,2433.4,180.08,2578.89,0.6123,8.1999,,,,,
44,9.112,0.00101,16.0126,184.2,2434.8,184.26,2580.67,0.6255,8.1816,,,,,
45,9.594,0.00101,15.2534,188.4,2436.1,188.44,2582.45,0.6386,8.1634,,,,,
46,10.099,0.00101,14.5355,192.6,2437.4,192.62,2584.23,0.6517,8.1454,,,,,
47,10.626,0.00101,13.8562,196.8,2438.8,196.80,2586.00,0.6648,8.1276,,,,,
48,11.176,0.00101,13.2132,201.0,2440.1,200.98,2587.77,0.6778,8.1099,,,,,
49,11.751,0.00101,12.6045,205.1,2441.4,205.16,2589.54,0.6908,8.0923,,,,,
50,12.351,0.00101,12.0279,209.3,2442.8,209.34,2591.31,0.7038,8.0749,,,,,
51,12.977,0.00101,11.4815,213.5,2444.1,213.52,2593.08,0.7167,8.0576,,,,,
52,13.631,0.00101,10.9637,217.7,2445.4,217.70,2594.84,0.7296,8.0405,,,,,
53,14.312,0.00101,10.4726,221.9,2446.7,221.88,2596.60,0.7424,8.0235,,,,,
54,15.022,0.00101,10.0069,226.0,2448.0,226.06,2598.35,0.7552,8.0066,,,,,
55,15.761,0.00101,9.5649,230.2,2449.4,230.24,2600.11,0.7680,7.9899,,,,,
56,16.532,0.00102,9.1454,234.4,2450.7,234.42,2601.86,0.7807,7.9733,,,,,
57,17.335,0.00102,8.7471,238.6,2452.0,238.61,2603.61,0.7934,7.9568,,,,,
58,18.171,0.00102,8.3688,242.8,2453.3,242.79,2605.36,0.8060,7.9405,,,,,
59,19.041,0.00102,8.0093,247.0,2454.6,246.97,2607.10,0.8186,7.9243,,,,,
60,19.946,0.00102,7.6677,251.1,2455.9,251.15,2608.85,0.8312,7.9082,,,,,
61,20.887,0.00102,7.3428,255.3,2457.2,255.34,2610.58,0.8438,7.8922,,,,,
62,21.866,0.00102,7.0338,259.5,2458.5,259.52,2612.32,0.8563,7.8764,,,,,
63,22.884,0.00102,6.7399,263.7,2459.8,263.71,2614.05,0.8687,7.8607,,,,,
64,23.942,0.00102,6.4601,267.9,2461.1,267.89,2615.78,0.8811,7.8451,,,,,
65,25.041,0.00102,6.1938,272.1,2462.4,272.08,2617.51,0.8935,7.8296,,,,,
66,26.183,0.00102,5.9402,276.2,2463.7,276.27,2619.23,0.9059,7.8142,,,,,
67,27.368,0.00102,5.6986,280.4,2465.0,280.45,2620.96,0.9182,7.7990,,,,,
68,28.599,0.00102,5.4684,284.6,2466.3,284.64,2622.67,0.9305,7.7839,,,,,
69,29.876,0.00102,5.2490,288.8,2467.6,288.83,2624.39,0.9428,7.7689,,,,,
70,31.201,0.00102,5.0397,293.0,2468.9,293.02,2626.10,0.9550,7.7540,,,,,
71,32.575,0.00102,4.8402,297.2,2470.1,297.21,2627.81,0.9672,7.7392,,,,,
72,34.000,0.00102,4.6498,301.4,2471.4,301.40,2629.51,0.9793,7.7245,,,,,
73,35.478,0.00102,4.4681,305.6,2472.7,305.59,2631.21,0.9915,7.7100,,,,,
74,37.009,0.00103,4.2947,309.7,2474.0,309.78,2632.91,1.0035,7.6955,,,,,
75,38.595,0.00103,4.1291,313.9,2475.2,313.97,2634.60,1.0156,7.6812,,,,,
76,40.239,0.00103,3.9709,318.1,2476.5,318.17,2636.29,1.0276,7.6669,,,,,
